date,S5101377
2017/1/12,599
2017/1/13,598
2017/1/14,596.6666667
2017/1/15,595.3333333
2017/1/16,594
2017/1/17,597
2017/1/18,597
2017/1/19,597
2017/1/20,597
2017/1/21,597
2017/1/22,597
2017/1/23,597
2017/1/24,597
2017/1/25,597
2017/1/26,597
2017/1/27,596.375
2017/1/28,595.75
2017/1/29,595.125
2017/1/30,594.5
2017/1/31,593.875
2017/2/1,593.25
2017/2/2,592.625
2017/2/3,592
2017/2/4,592
2017/2/5,589.5
2017/2/6,587
2017/2/7,587
2017/2/8,587
2017/2/9,586
2017/2/10,586
2017/2/11,585.3333333
2017/2/12,584.6666667
2017/2/13,584
2017/2/14,584
2017/2/15,584
2017/2/16,584
2017/2/17,586
2017/2/18,588
2017/2/19,590
2017/2/20,592
2017/2/21,596
2017/2/22,599
2017/2/23,601
2017/2/24,601
2017/2/25,601.6666667
2017/2/26,602.3333333
2017/2/27,603
2017/2/28,609
2017/3/1,618
2017/3/2,623
2017/3/3,628
2017/3/4,629.3333333
2017/3/5,630.6666667
2017/3/6,632
2017/3/7,636
2017/3/8,642
2017/3/9,650
2017/3/10,657
2017/3/11,660
2017/3/12,663
2017/3/13,666
2017/3/14,673
2017/3/15,673
2017/3/16,680
2017/3/17,686
2017/3/18,686
2017/3/19,686
2017/3/20,686
2017/3/21,685
2017/3/22,685
2017/3/23,684
2017/3/24,684
2017/3/25,683.3333333
2017/3/26,682.6666667
2017/3/27,682
2017/3/28,682
2017/3/29,682
2017/3/30,684
2017/3/31,684
2017/4/1,684
2017/4/2,683.25
2017/4/3,682.5
2017/4/4,681.75
2017/4/5,681
2017/4/6,680
2017/4/7,678
2017/4/8,676
2017/4/9,674
2017/4/10,672
2017/4/11,671
2017/4/12,671
2017/4/13,671
2017/4/14,671
2017/4/15,669.6666667
2017/4/16,668.3333333
2017/4/17,667
2017/4/18,660
2017/4/19,660
2017/4/20,658
2017/4/21,656
2017/4/22,653.3333333
2017/4/23,650.6666667
2017/4/24,648
2017/4/25,644
2017/4/26,638
2017/4/27,629
2017/4/28,626
2017/4/29,623.75
2017/4/30,621.5
2017/5/1,619.25
2017/5/2,617
2017/5/3,613
2017/5/4,613
2017/5/5,609
2017/5/6,606.3333333
2017/5/7,603.6666667
2017/5/8,601
2017/5/9,594
2017/5/10,590
2017/5/11,584
2017/5/12,583
2017/5/13,579.3333333
2017/5/14,575.6666667
2017/5/15,572
2017/5/16,571
2017/5/17,571
2017/5/18,568
2017/5/19,562
2017/5/20,561
2017/5/21,560
2017/5/22,559
2017/5/23,558
2017/5/24,557
2017/5/25,557
2017/5/26,557
2017/5/27,557
2017/5/28,557
2017/5/29,557
2017/5/30,557
2017/5/31,557
2017/6/1,551
2017/6/2,550
2017/6/3,549.3333333
2017/6/4,548.6666667
2017/6/5,548
2017/6/6,550
2017/6/7,551
2017/6/8,553
2017/6/9,553
